"Gene","Pseudotime_Bin","Z_Score","Cluster"
"EEF1A1","Bin_17",0.62038335993416,2
"EEF1A1","Bin_18",0.69564429300515,2
"EEF1A1","Bin_19",0.58041120460274,2
"EEF1A1","Bin_20",0.463211788880779,2
"HEY1","Bin_1",-1.02535379677369,2
"HEY1","Bin_2",-0.947354710094872,2
"HEY1","Bin_3",-0.895244449940514,2
"HEY1","Bin_4",-0.987547208963368,2
"HEY1","Bin_5",-1.02089759482254,2
"HEY1","Bin_6",-1.05030140540257,2
"HEY1","Bin_7",-0.810389091434673,2
"HEY1","Bin_8",-0.371734303692738,2
"HEY1","Bin_9",-0.278826617173387,2
"HEY1","Bin_10",-0.0415212766734181,2
"HEY1","Bin_11",0.153358778734739,2
"HEY1","Bin_12",-0.196060249844655,2
"HEY1","Bin_13",-0.0938051489105904,2
"HEY1","Bin_14",0.337480943231822,2
"HEY1","Bin_15",0.136029924079216,2
"HEY1","Bin_16",0.308630530350045,2
"HEY1","Bin_17",1.22302695178248,2
"HEY1","Bin_18",1.71974309546881,2
"HEY1","Bin_19",2.17261940189579,2
"HEY1","Bin_20",1.66814622818411,2
"RPL13A","Bin_1",-0.358247959415925,2
"RPL13A","Bin_2",-0.8223856929969,2
"RPL13A","Bin_3",-1.04593304654378,2
"RPL13A","Bin_4",-2.11543531440287,2
"RPL13A","Bin_5",-0.167096229478138,2
"RPL13A","Bin_6",-2.56774322340898,2
"RPL13A","Bin_7",-0.689497231468304,2
"RPL13A","Bin_8",-0.0417337303459681,2
"RPL13A","Bin_9",0.674213868037013,2
"RPL13A","Bin_10",0.505459742524501,2
"RPL13A","Bin_11",0.515034639613797,2
"RPL13A","Bin_12",0.819345677478965,2
"RPL13A","Bin_13",0.846455971981166,2
"RPL13A","Bin_14",1.00229106056621,2
"RPL13A","Bin_15",0.896618681843218,2
"RPL13A","Bin_16",0.601853495024327,2
"RPL13A","Bin_17",0.51998944842744,2
"RPL13A","Bin_18",0.646160519449947,2
"RPL13A","Bin_19",0.41710438573247,2
"RPL13A","Bin_20",0.363544937381799,2
"ALDH1A1","Bin_1",-0.70701959661434,2
"ALDH1A1","Bin_2",-0.631581211990914,2
"ALDH1A1","Bin_3",-0.72627273638682,2
"ALDH1A1","Bin_4",-0.70029664795083,2
"ALDH1A1","Bin_5",-0.72627273638682,2
"ALDH1A1","Bin_6",-0.236331378061164,2
"ALDH1A1","Bin_7",-0.0751917931441856,2
"ALDH1A1","Bin_8",-0.540003335335074,2
"ALDH1A1","Bin_9",-0.443825073480086,2
"ALDH1A1","Bin_10",-0.450435674029579,2
"ALDH1A1","Bin_11",-0.373496687324086,2
"ALDH1A1","Bin_12",-0.578059636718178,2
"ALDH1A1","Bin_13",-0.501537068223466,2
"ALDH1A1","Bin_14",-0.433644454402917,2
"ALDH1A1","Bin_15",-0.110140841295951,2
"ALDH1A1","Bin_16",-0.158511480936408,2
"ALDH1A1","Bin_17",1.23900130164943,2
"ALDH1A1","Bin_18",1.63073654231542,2
"ALDH1A1","Bin_19",2.72497681195396,2
"ALDH1A1","Bin_20",1.79790569636202,2
"RPS23","Bin_1",-0.698640044539623,2
"RPS23","Bin_2",-0.551312590946026,2
"RPS23","Bin_3",-0.519554948953199,2
"RPS23","Bin_4",-1.87606408981366,2
"RPS23","Bin_5",-0.712337259571299,2
"RPS23","Bin_6",-2.68249907754229,2
"RPS23","Bin_7",-1.13293012170025,2
"RPS23","Bin_8",0.513227285527176,2
