"Gene","Spearman_rho","p_value","FDR","Absolute_Spearman_rho","Direction","Stage16B_Strong_Gene"
"FES",-0.0476493676970446,9.15580462906763e-05,0.000213714558256807,0.0476493676970446,"Decreasing",FALSE
"AC090739.1",-0.0476175794442982,9.25538953963161e-05,0.000216015733828101,0.0476175794442982,"Decreasing",FALSE
"STK32B",-0.0476079608710495,9.2857231904283e-05,0.000216700300372738,0.0476079608710495,"Decreasing",FALSE
"NLRP1",0.0476075139689589,9.28713484448048e-05,0.000216709841258205,0.0476075139689589,"Increasing",FALSE
"HAP1",-0.0475925768209399,9.33443437168289e-05,0.000217790031064637,0.0475925768209399,"Decreasing",FALSE
"MRNIP",-0.0475892784273699,9.34490958032363e-05,0.000218010899309936,0.0475892784273699,"Decreasing",FALSE
"KMT5B",0.0475765543416831,9.38542347644227e-05,0.00021893242802884,0.0475765543416831,"Increasing",FALSE
"ALPK1",-0.0475748026174159,9.39101399208157e-05,0.000219039193058697,0.0475748026174159,"Decreasing",FALSE
"BLVRA",-0.0475719790575376,9.40003182114255e-05,0.000219225866236661,0.0475719790575376,"Decreasing",FALSE
"AC122108.2",-0.04756516414105,9.42183085725855e-05,0.000219710547993263,0.04756516414105,"Decreasing",TRUE
"AP001020.3",-0.0475515852136574,9.46540847109259e-05,0.000220702931657651,0.0475515852136574,"Decreasing",FALSE
"ZNF451",0.0475322182438391,9.52789047078711e-05,0.000222135843212547,0.0475322182438391,"Increasing",FALSE
"ABRAXAS1",0.0475209317163029,9.56448260096679e-05,0.000222964907235051,0.0475209317163029,"Increasing",FALSE
"TUBGCP2",0.0475204678216182,9.56598943205127e-05,0.000222975980613341,0.0475204678216182,"Increasing",FALSE
"PLEKHG3",0.0475125683233577,9.59168315141244e-05,0.000223550768876211,0.0475125683233577,"Increasing",FALSE
"DEUP1",0.0475106532735973,9.59792180062512e-05,0.000223672048001196,0.0475106532735973,"Increasing",FALSE
"CRTC3",-0.047506736857343,9.61069222211037e-05,0.000223945502393579,0.047506736857343,"Decreasing",FALSE
"ZNF460",0.0474983452041822,9.63810926129844e-05,0.000224560152168905,0.0474983452041822,"Increasing",FALSE
"FEM1B",-0.0474939808129673,9.65239768149678e-05,0.000224866010033098,0.0474939808129673,"Decreasing",FALSE
"AC024060.1",0.0474934413855791,9.65416508084759e-05,0.000224866010033098,0.0474934413855791,"Increasing",FALSE
"DENND1C",-0.0474933824012847,9.65435835764497e-05,0.000224866010033098,0.0474933824012847,"Decreasing",FALSE
"C19orf44",0.047483554651841,9.68661249271806e-05,0.000225592947481019,0.047483554651841,"Increasing",FALSE
"KLHDC7A",-0.0474588525962861,9.76813302398357e-05,0.000227466976991686,0.0474588525962861,"Decreasing",FALSE
"AC025580.2",-0.0474569845679823,9.77432406628091e-05,0.0002275866211317,0.0474569845679823,"Decreasing",FALSE
"NAP1L4",0.0474467348741131,9.80835969540297e-05,0.000228354506590884,0.0474467348741131,"Increasing",FALSE
"RBM10",0.0474248046276782,9.88155843352549e-05,0.000230033909025623,0.0474248046276782,"Increasing",FALSE
"HMBOX1",0.047424182577566,9.88364221215909e-05,0.000230051809197632,0.047424182577566,"Increasing",FALSE
"MMP16",-0.0474239395315216,9.88445649421571e-05,0.000230051809197632,0.0474239395315216,"Decreasing",FALSE
"SLA2",-0.0474110219753984,9.92782567155936e-05,0.000231036304934738,0.0474110219753984,"Decreasing",FALSE
"AC026704.1",0.0474012303233673,9.96081959199162e-05,0.000231770621707207,0.0474012303233673,"Increasing",FALSE
"AL691432.2",0.0474010213376468,9.96152491631902e-05,0.000231770621707207,0.0474010213376468,"Increasing",FALSE
