"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","DEG_direction","delta_pct"
0,2.02227275797076,0.191,0.026,0,"SIX4","Higher_in_BRCA1_tumour",0.165
1.67920884641309e-195,2.01602174239607,0.104,0.013,4.17535279660614e-191,"TSLP","Higher_in_BRCA1_tumour",0.091
0,2.01511048681177,0.384,0.066,0,"SSBP4","Higher_in_BRCA1_tumour",0.318
0,2.01447564687494,0.333,0.053,0,"HRASLS","Higher_in_BRCA1_tumour",0.28
0,2.01347161793829,0.285,0.041,0,"PFKM","Higher_in_BRCA1_tumour",0.244
0,2.01171116388932,0.308,0.047,0,"ZNF444","Higher_in_BRCA1_tumour",0.261
0,2.01121812647462,0.33,0.054,0,"SLC16A1","Higher_in_BRCA1_tumour",0.276
0,2.00988141625301,0.567,0.115,0,"MBOAT7","Higher_in_BRCA1_tumour",0.452
0,2.00856040635465,0.998,0.982,0,"RPS16","Higher_in_BRCA1_tumour",0.016
0,2.00328459231941,0.761,0.206,0,"PRPF31","Higher_in_BRCA1_tumour",0.555
0,2.0001354148983,0.623,0.128,0,"TRAPPC4","Higher_in_BRCA1_tumour",0.495
0,1.98804687480614,0.666,0.172,0,"SNHG7","Higher_in_BRCA1_tumour",0.494
0,1.9878517511891,0.415,0.066,0,"EHF","Higher_in_BRCA1_tumour",0.349
0,1.98765457894888,0.505,0.099,0,"HSPBP1","Higher_in_BRCA1_tumour",0.406
8.57325979387238e-192,1.98394698781499,0.106,0.014,2.13174104774637e-187,"ZNF552","Higher_in_BRCA1_tumour",0.092
0,1.98142309306384,0.182,0.023,0,"ANKRD36B","Higher_in_BRCA1_tumour",0.159
0,1.97675726631013,0.977,0.754,0,"RPS26","Higher_in_BRCA1_tumour",0.223
2.03011204689824e-271,1.97646903364373,0.139,0.016,5.04787360461248e-267,"CST6","Higher_in_BRCA1_tumour",0.123
0,1.97480513350017,0.279,0.042,0,"MELTF-AS1","Higher_in_BRCA1_tumour",0.237
7.6858949421909e-278,1.97287116710338,0.159,0.023,1.91109777737577e-273,"CLIC3","Higher_in_BRCA1_tumour",0.136
0,1.96910854961331,0.953,0.595,0,"ATP5F1C","Higher_in_BRCA1_tumour",0.358
0,1.96815333829451,0.882,0.363,0,"ETFB","Higher_in_BRCA1_tumour",0.519
1.46864074920602e-272,1.96624318834739,0.142,0.017,3.65177522290078e-268,"SYDE2","Higher_in_BRCA1_tumour",0.125
1.92421797176691e-283,1.96328387296474,0.158,0.021,4.78456798679843e-279,"SOS1","Higher_in_BRCA1_tumour",0.137
4.21685997585298e-225,1.95896959698428,0.133,0.02,1.04852223299584e-220,"ABHD14A","Higher_in_BRCA1_tumour",0.113
0,1.95420726050611,0.351,0.062,0,"MFSD2A","Higher_in_BRCA1_tumour",0.289
0,1.95265170065939,0.278,0.045,0,"MAN2A1","Higher_in_BRCA1_tumour",0.233
0,1.95130910308125,0.64,0.137,0,"BCLAF1","Higher_in_BRCA1_tumour",0.503
2.59923957669047e-272,1.93563463470457,0.154,0.021,6.46300920744086e-268,"MLH3","Higher_in_BRCA1_tumour",0.133
0,1.93552562521963,0.295,0.055,0,"RAB32","Higher_in_BRCA1_tumour",0.24
0,1.93408132822473,0.353,0.058,0,"TRIP11","Higher_in_BRCA1_tumour",0.295
0,1.93227614622918,0.782,0.256,0,"TSTA3","Higher_in_BRCA1_tumour",0.526
1.91642488923475e-229,1.9321825018816,0.13,0.018,4.7651904870822e-225,"ACVR1B","Higher_in_BRCA1_tumour",0.112
0,1.92442824226731,0.773,0.253,0,"ODC1","Higher_in_BRCA1_tumour",0.52
0,1.92404775799705,0.993,0.953,0,"RPL7A","Higher_in_BRCA1_tumour",0.04
0,1.9183000167134,0.384,0.067,0,"MORN2","Higher_in_BRCA1_tumour",0.317
1.89908494241317e-266,1.91676622230062,0.156,0.023,4.72207470931035e-262,"SCAF8","Higher_in_BRCA1_tumour",0.133
0,1.91651712084342,0.942,0.496,0,"HSPD1","Higher_in_BRCA1_tumour",0.446
0,1.9142718269859,0.324,0.051,0,"HLCS","Higher_in_BRCA1_tumour",0.273
4.0926134264568e-231,1.91008371718223,0.135,0.02,1.01762832848848e-226,"ZNF43","Higher_in_BRCA1_tumour",0.115
0,1.90778788961333,0.945,0.323,0,"MDK","Higher_in_BRCA1_tumour",0.622
0,1.90636125547602,0.397,0.071,0,"NUP107","Higher_in_BRCA1_tumour",0.326
0,1.90314276954993,0.794,0.349,0,"KLF6","Higher_in_BRCA1_tumour",0.445
0,1.90212769978064,0.214,0.031,0,"PLPPR2","Higher_in_BRCA1_tumour",0.183
0,1.90143426161441,0.521,0.104,0,"YEATS4","Higher_in_BRCA1_tumour",0.417
0,1.90033299358264,0.655,0.148,0,"NEBL","Higher_in_BRCA1_tumour",0.507
0,1.89825588178539,0.377,0.064,0,"CRACR2B","Higher_in_BRCA1_tumour",0.313
0,1.89213442853569,0.209,0.03,0,"YTHDC2","Higher_in_BRCA1_tumour",0.179
0,1.89127418974915,0.268,0.042,0,"ASXL2","Higher_in_BRCA1_tumour",0.226
3.61461185430976e-177,1.88499327987397,0.109,0.017,8.98773237574123e-173,"ZNF480","Higher_in_BRCA1_tumour",0.092
3.81234358146589e-211,1.88193380806693,0.119,0.016,9.47939231531493e-207,"NIFK-AS1","Higher_in_BRCA1_tumour",0.103
0,1.88173490386637,0.247,0.034,0,"IL1R2","Higher_in_BRCA1_tumour",0.213
0,1.87753101907082,0.289,0.045,0,"PCNT","Higher_in_BRCA1_tumour",0.244
0,1.87458862975433,0.324,0.053,0,"CNOT3","Higher_in_BRCA1_tumour",0.271
